,Unnamed: 0,saudi-line
10,10,تحسين كلمه زباله قليله بحقهم بس م ودنا نقل ادبنا مو مثل تربيتهم انا عندي شخص عن الف شخص دايما يعوض قلبي ويخلق الفرح لروحي طالما هو معايا المخاوف تنمحي عموما انا حابه الحياه فيه دايم عذر المشهورات الله يثبتني وهي لو حابه تتحجب بس المساله مساله شهره وفلوس واعلانات واستعراض بس هالكلام ياشيخه بياعين هرج والا الوضع عاجبهم ماكنت حابه تنتهي المحادثه ابد
11,11,اللي يزعلون بدون سبب ويتغيرون ويطنقرون عليك حابه اقولكم يراضيكم الجدار حبايبي انا بالعافيه اراضي نفسي واقنعها ان الحياه ممكن تبرير واضح للي حصل وفي شهود علي فكره بس حابه تعترفي من نفسك المشكله عامله كمان اذا حابه اسنانك تبان بيضاء اختي بعد فتره بيكون عندها اختبار التحصيلي للثانويه حابه تعطوني نصايح من وين تذاكر وتراجع والخ وشكرا هالحساب مايقصر
12,12,حابه اقول انه ما عندي وقت اضيعه ارد علي احد ينتقد و يزعجني او يتدخل وينصح راح يلقي علطول حتي لو اسلوبه روعه الافضل ياكل زق ويشغل نفسه انتم اخترتو تسوون فاذا ما عجبكم شي تقدرون تتراجعون عن وتفكوني منكم لانه انا مو هنا عشان ارضيكم يا قلبي حابه شكلي مره
13,13,هالفتره حابه ابعد عن هالعالم ولا ابي اشوف احد شكرا ع الجرح حابه اقولكم اني مازرت ولا مدينه وشكرا يجماعه اللي حابه تتطوع وتشرح كل شي صار تتفضل واو ه ياليت هذي الخدعه عندنا حابه اجربها مرحبا حابه استفسر عن خذيته منكم ومعاه حابه اعرف طريقه الاستخدام
14,14,حاب للي حاب يقرا اكثر او يسال يبغاله فرش جديد ومكيف اللي حاب يتبرع في هذي الايام حاب اشاركم في افضل مقطع بجوالي و شكرا الراحه هي انك تقتنع ان اللي يبيك يعرف يوصلك واللي حاب تبقي بحياته بيعرف كيف يحافظ عليك صارو زي علبه المناديل اسحب واحد يطلعلي الثاني
15,15,يطلعلي انا سددت لاختبار وارسلو علي رقمي انه تاكد التسديد بس بالموقع يطلعلي انه ما تاكد بعدين حذفت التسجيل عساس بسجل فمكان ثاني اسدد مره ثانيه يطلعلي هالخطا وماني لاقي حله لاتتباهي بشنبك حتي انا يطلعلي وانتفه انا بسجل وناسي كلمه المرور وذا سويت استرجاع يطلعلي كذا وش الحل ضرس توه يطلعلي وش هالتسنين المتاخر وكمان
16,16,وكمان شرواك الطيب ربنا يسعدك كمان وكمان الغريب يا خوي ان هذي الاشكال باقي ما انقرضت شي عجيب والله هاذي الجوائز مو من مستوانا مستوانا الجوائز العالميه وكمان جوائزكم قليله عشان تنعد حنا من كثر ماقدرنا نعدها وكمان انتي الي درعمتي يوم تشوفين الملابس زباله وكمان هذا ارجل من ابوك وجدك ويالله عند ماما نفس الشئ
17,17,وربي جايه اكتب نفس الشي خير شتبين انا عادي عندي اضحك علي نفس الشي الف مره وكاني اول مره اشوفه بعض الاشياء مضحكه وتخليك ترجع تضحك اكثر من مره الا يجي يوم ما تضحكك الا اذا مسطول لو فيه نقطه عقل كان سوا نفس الشي مع عايلته الكذاب المنافق ما حشر البنات في اطار الاربع جدران اللا هوه و اشكاله والله الكبر ماهو موجود الاعند الذكور محللين لنفسهم كل شي ومحرمينه علي اهلهم اللي يسمونهم عورات وفوق ذافاضحينا وسط العالم سب واستهزاء لبناتنا اذا قالتلك يالورع زعلت بس تستانس يالتيس تري اثنينهم نفس الشي الموضوع اختلاف لهجات فقط يعني الحين متعنيه عشان تبينين لنفسك قد ايش انتي تافهه ومريضه ربي يبليك في نفسكك وتذوقين نفس الشي اللي ذاقته البنت واخس مقرف لما تكون معاي ومع غيري نفس الشي ونفس الكلام والمشاعر مقرف لابعد حد
18,18,هذا اسطوره بس في التحكم و التسدح والتبطح نفس الشي بس انتم ي حبكمم للاجانب مدري اذا احد شايف نفس الشي والا عيوني بس الا فيها ودايما يحطون صورهم جمب بعض ويقارنونها كويس يعني عيوني مافيها شي كويسه احد يعرف بطاقه اوفر لك وش مميزاتها وهل خصوماتها كويسه للمطاعم
19,19,استغرب من قله الادب اللي بتحصل من الشباب للعريس كلام فاضي بيجي وقت زواجي باذن الله وبشوف مين ولد امه يتجرا يسويها معايا والله لاحط رجلي بعد موب اصبعي بس اعزمني لزواجك وش هالكلام هذا مالها دخل بقله الادب اذا مو قله ادب اجل ايش تسميها طيب زمان كان قريش عندهم عاده لو الوحده ولدت بنت كانو يدفنوها حيه ليش ما نرجع لدي العاده كويس ممكن يكون فعلا كويس لكن حسيته ممل كويس حصلت احد ترجم الكلام مو
20,20,مو كفو اقسم بالله ذي البنت مو صاحيه اقسم بالله ما تفرق معي تصرف لهم ملايين بس اشوف نجوم تقارع العالم مو الزلايب اللي عندنا ريال والله حرام فيهم نجوم ولا غيره ماحنا مستفيدين مثقال ذره من فوزهم وخسارتهم ماغير صرف من هالملايين احساس ودي اجربه
21,21,اشغل السياره ويجي اخوي يقول تكفين ابي اطلع خذيني معك اقوله بعدين بعدين مشغووله مو فاضيه لك البنات ينتظروني بالاستراحه مو مشكله يتغير حلمك من وقت لاخر
22,22,موضوع ان الشخص ينتظر انك تغلط عشان يخسرك صارت قديمه الحين يخترع غلطه ويصدقها ويبتعد وانت مو فاهم شي ه كانك تخاطب حالتي اقسم بالله ان فيه شخص زعلان مني وما يكلمني ولا يسلم علي وانا اقسم بالله ما اعرف ليش ومع ذلك لم اساله ع السبب وحقرته النفسيات كثروا شعب فاضي يعني لا تستغرب
23,23,كل واحد سار يحس ان بلاه من اللي حوله والله العظيم انه كفو ورجال ترا هذا انسان مثلنا يحق له يمزح ويضحك ماله داعي التصيد خصوصا مننا يالهلاليين عيب نكون عون للي يحاول يهدم لاعبنا مستحل تمنع احد انه يضحك ويستهبل تراها كوره يوم انتهي عقده كلكم فجاءه حبيتوه وباع ارقام الاهلي الفلكيه علشانكم تراه يستحق منكم تنصفونه ما توقفون مع جماهير الخصوم ضده يعيش مخترع التكميم اللي نحف خلق الله اللي سويته بدايه الاجازه وقلت لنا عنه ليه السعودي ينكر انه مسوي تكميم ماقلت اني سويت شكلك غلطان تعطوني
24,24,سمعت ان مدرسه للبنات محتاجه معلمات هل الكل صحيح واذا صحيح ممكن تعطوني رقم اتواصل معهم والله يا اصبعي مورم من س وش استفدت منكم انا مفروض تعطوني فلوس المفروض مخليه بث سوالف بس يقالك تطربنا الحين هبشري نفداش بسوي سوالف معليش انا راتبي وانتظر سنه ومتقاعد كم تعطوني اتحداكم يالصندوق تجاوبون لاني ماستحق ولا مدير البنك عنده جواب استحق الف ابني صندقه ابي نصيبي من النفط ممكن تعطوني اياه السعودي وين راحو ياخي خلو عندكم غيره علي بلدكم ماترتاحون الا لازم تعطوني اجنبي الاجانب اكلونا اكل خافو الله يسلمين احنا اولا من اي اجنبي
25,25,الناس اللي يكلمون ف الجوال بصوت خفيف ممكن تعطوني الخلطه انا اذا ما سمعوني الدول المجاوره ما ارتاح نفسي ومعك انه لاتنسيني من الخلطه اذا جتك وات تعطوني رايكم بتصويري وشكرا الي حاب يشوف تصويري اولا بالعافيه وثانيا تصويرك حلو واكيد مع الوقت راح تصير افضل بكثير وبالتوفيق لك انا ماقدر ان من مسبب لي كوابيس كبيره ات تعطوني حقوقي لاجراء اللازم مع تكفون دايما يضربني انا معنف بما انه طفش بنزل لكم مقالب تحت التغريده و ي ليت يعني تعطوني وجهه و تتفاعلون لاني ضحكتكم
26,26,شوفوا وجهه هنا ودهه يذبحه من الاحراج ما يدري وش يسوي ههاه افا عليش عطيتش وجه اطلق من يعطيني وجهه ليش تتزوج وانت مديون انت مفكر الزواج سعه صدر وتغير جو تحمل مسؤوليه نفسك اول بعدين خذ بنت اذا انت مقتدر قول ولا تبي يروح للحر
27,27,اتكلم بلغه العقل والمنطق يعني يا تعطوني اتزوج او اروح للحر اعالج الغلط بالغلط اعطوني شي واحد يشجع ويطمن المغترب حتي يعود الي وطنه اتحداكم تعطوني ماقدر اشاركم تصويري اخاف تعطوني عين وكيذا لن نقلط بعد الرجال فيه ناس لسي كذا احنا بوفيه مفتوح وحركات طبعا مو حق الرجال ثاني اصلا عادي وسخ دنيا ع الاقل قولو بنفكر ونردلكم مو تعطوني اياها
28,28,لا خلاص انت حتي التفكير قطعته عاد بهالموضوع افكر العرق فيكم رغم شينه له طعم خاص شرايكم كل يوم تعطوني موضوع غاثكم اتكلم عنه يقرفوني اللي يقوولون تكفون ابي جزمه تكفون ابي جوال تكفون ابي لعنه تلعنكم شفيكم كان ماعندكم خير عيب اللي قاعدين تسوونه
29,29,يعني خلاص كانت فتره وعدت اي المسابقات الوضع صار شحذه عيني عينك حتي الفقير والله يستحي يسوي اللي قاعدين تسوونه قاعد اشوف ناس اقسم بالله مايحتاجون البلبله ذي كلها قادرين يشترون بس الشفاحه لاعبه فيهم يلعن خيركم ابثرتونا بكل مكان تكفون وتكفون ماتستحون
30,30,انا طفح الكيل عندي اي ناقصه عقل او متخلف يكتب لي بشرشح اهله اذا ماعندك فلوس تكفي انقلع حمل كل بلاويهم رخيصه يارخيص انت وياه ولا اشوف احد يفضح اسرار بيته عندي يحسب بحركاته ذي بينكسر خاطري عليه وبعطيه استنقصك ترا اشفق علي كل بني ادم هذي عقليته وذا حد تفكيره اتوقع كفيت ووفيت وطلعت اللي بقلبي وبقلب ناسس واجد وادري شكثرهم اللي فاقع كبدهم الموضوع ومنغثين منه ف ياليت تستحون شوي وماتاذونا معكم
31,31,ردود فعلكم تبين لي اني طلعت اللي بقلوبكم شرايكم كل يوم تعطوني موضوع غاثكم اتكلم عنه يعيال عندي موضوع صار لي فتره افكر فيه ات تعطوني رايكم فيه عمر لا نهائي مافي نهايه للمده الي تعيش فيها ودي اعرف ايش اللي ممكن نسويه في الاف سنه مده مره طويله يعني انت جرب تقعد علي شي سنه راح تمل
32,32,وطبعا كل شي راح يكون متوفر بالجنه ف راح تجرب كل شي كل شي بمعني الكلمه ممكن تعطوني رايكم طيب وين المشكله بالموضوع اجمعيني فيه ياكل الرياض هعخهه ودي اعرف ليش تركض ب الحلم صايره اجري باحلي كثير اصحي عطشانه كلكم تبون تلعبون معي
33,33,اللي طفشان وده يسولف يجي ماكل دكتور يعرف الاداوي وماكل مجروحن بيلقي طبييبه رايق لدرجه اني اسمع انا الوحيد اللي محد كتب عني وقال اني صاحب كويس العالم تصحبن يمين ويسار وانا كاني وحيد اص ولاجابه ياحبيبه الكلابه انا سريع الرد مب حبا فيك لاني فاضي
34,34,ي لو قرت كلكم ذا حذفت حسابي حر عليكم تبي تشوف عيالي كلكم يسعد ويخلي المتضايق يروق والمنفس يبتسم لطافتكم ماتتمزح صايرين ماتعرفون تسولفون وين العاقلين ماتفقنا علي كذا طيب بس الحين معد اعرف شي عنها
35,35,تزوجتهم وخلصت ماتحتاجين تحملين بعد الناس وش ذنبها مو صعبه مره ياليت تساعدوني انا نسيت رقمي الجامعي كيف اطلعه فيه طريقه ياليت تساعدوني انا جتني رساله بجوال لرقم و انحذفت الرساله ياليت تساعدوني يا اهل الخير محتاجه قسم بلله وحالتي صعبه اولاد ابوهم مسجون وشالت عقله ها الحبوب يعني مجنون مايدري عن شي ياليت تساعدوني والله م قادره اشتري حتي للعيد ولاللمدرسه ياليت تساعدوني وعندي عائله كبيره
36,36,الحساب المباشره معلق معاي اسوي استعاده لكلمه المرور مو راضي ياليت تساعدوني وش تتمني عيديتك والله ماعندي فلوس اشتري عيديه ياليت تساعدوني انا محتاجه وظيفه واشتغلها بالبيت مثلا ارد ع اتصالات او اي شي بس جد محتاجه وظيفه ياليت تساعدوني ياريت تعمل
37,37,ياريت دول الخليج تعمل محميه للقطرين الاصلين خايف عليهم من الانقراض ياذكي اخر جوله لازم يكون توقيت المباريات نفس بعص حتي مايكون فيه تلاعب بالنتائج لازم يكون ياخي مايصير انت اللي تغلط وانت اللي تزعل لازم يكون لي دور في المساله هذي
38,38,من راح من كيفه وكيفه موديه خله علي كيفه وكيفه يرده فيه ناس يصير معهم مثلي عبالي انا بس صعب تشرح لشخص قد ايش تحتاجه وصعب تشرح كيف لازم يكون معك
39,39,يعني الوحد لازم يكون عنده واسطه عشان يتحسن وضعه عشان تنجح بحياتك لازم يكون عندك واذا عندك واسطه انسي كل الكذب الي فوق
40,40,لازم يكون فيه قانون ضد التحرش و الاغتصاب هذا شيء موجود مانقدر ننكره وصار كثير في مجتمعنا لازم يحطون حد وقانون صارم لازم يحطونه بقسم لحاله لانه مايصلح يكون مع الرجال ولا مع النساء مو ناقصين استهبال بالسجن
41,41,والله الفخر والعز ان في شباب الخليج مثلك وشرواك بيض الله وجهك لازم تكفون الله يسهلي قيمه الفله اللي ابيها تكفون يارجال اول مره اطلبكم خاطري فيها تكفون تكفون ساعدو ابوي وخواتي وامي والله فيه اثباتات والله والله ثم والله ثم والله وعلي اقوله شهيد تكفون يا ناس
42,42,تكفون اسمعوه وربي استكنان وراحه جاتني فتره اسمع هالايات بصوته وما دريت عن نفسي الا وانا حافظتها من كثر من اشغل المقطع صوته راحه انا اقول لكل من مد الله بعمره لهاليوم انت محظوظ تكفون استغلو كل دقيقه اتركو عنكم الناس والمحارش
43,43,يحتاج للعلاج تكفون لا تخلونه وصلوه الي من يهمه الامر والي يستطيع يتواصل معي يااهل الخير تكفون الي يقدر يساعدنا العيد قرب و انا وعيالي في حاجه ما يعلم فيها الا ربي يفزع هذولا عيالكم ي اهل حايل اذا ما فزعتو لهم من يفزع اجل الكل من الفضاوه يفزع لفلان وعلان واتوقع وضحت لك الصوره
44,44,الله يفزع لش ويسر امرش الله يالدنيا قبل ايام تسبون وتدعون ع المملكه وتقولون حاصرتونا والحين جايين تتطالبون الملك يفزع معكم وش تبون وش هالتناقض ام تستغيث وزوج يبي احد يفزع لزوجته وش الهرجه ي عربان
45,45,انا احتاج بقاله تفهمني مطعم يحس فيني ثلاجه تغار علي بنك يفزع لي الاوادم ما ينفعون شعور انك بنت سعوديه وعايشه في السعوديه وتشوفين الغلط وتبين سعودي يفزع لك ويتكلم بس ما كان في رجال للاسف مزهريات حسسوا العالم ان فيه اهتمام للبنت من قبل رجال المنطقه وتجارها لكن الله يفزع لها ابوهم مسجون علي دين من يفزع لهم ويوصل صوتهم لسيدي
46,46,اكتشفت ان مو كل الشباب نفس الشي ء يعني في الي يفزع لك ومايعرفك هذا تمام المزهريه انت انا مافهمت شوضعك بحياتي لي اللي يا جماعه ياجماعه الخير خلو الجولات وروحو اقرو لكم كم صفحه من القران اليوم يوم م يتفوت خلوا صقركم عندكم ياجماعه الخير ولا تطلقونه ولا تودونه بعيد ماتوصل كذا ياجماعه الخير ياجماعه من يحس بضيقه في بيته اومشاكل داخل البيت امانه لا تبالغون بمدحي يا جماعه الخير يا جماعه الخير تعوذوا من ابليس ولا تشغلون الوزير خلاص قالكم بيبني لكم بيوت في يومين اصبروا عليه ياجماعه الخير وش السواه يا جماعه الخير اللي بيشتغل معنا في الشركه يجي خاص فيها حوافز ومكافات وبدون تسجيل في التامينات ولا شيئ بصراحه شركه ممتازه عايله غيرنا راينا
47,47,ليش تذكرنا خلاص غيرنا راينا مانبي نتاهل غيرنا راينا شوي والله ياكلامك صادق اليوم يقولون اختبروا كذا بكره يقولون غيرنا راينا وشروطنا واحنا اللي ناكلها مفروض تكونون حريصين اي اختبار قياس للمعلمين والمعلمات مفروض تختبرونه سواء كان متطلب او لا لان مع الوزير الجديد ينام ويصحي بكابوس قرار جديد الموقع مزحوم والله الناس مايفيد معهم شي حتي لو شاركوا في القرار يجون بعد فتره يقولون غيرنا راينا اول شغله اول شغله شي ما يخصك انا او لا الشغله الثانيه اللي متاكد يوم كنت طفله كان ابوي يسافر كثير بسبب شغله تقول امي اني كنت اول مايسافر امرض واجلس مريضه تقريبا ايام بكل سفره له مدري اذا له دخل شايفين كيف الاشغال ماجات الا في وقت المباراه اول مابدات كل واحد يناديني يبغاني في شغله اذا في مجال ماجربت لسي ولا افكر اذا في مجال بالمستقبل ممكن نشوف وين الوناسه بالموضوع انا عارف ياخ انتو قديمين كيف
48,48,انا ال ما عندي علاقه بالكوره عارف انو صفقه الاعاره مع خيار الشراء السنه الجايه اتلغت وحولوها لصفقه بيع طوالي انا عارف انو نحنا جيل منحوس خلك عقلاني شوي لو كلامك صحيح كان حصلت اكثر من عشرين مليون ارهابي ليش ماصرت انت ارهابي وانت دارس هنا صحح لي فهمي انت تقصد وزاره التعليم تعطيك شي لو طبقته تصير متطرف فيني طاقهه سوالف وروقان يلا اي احد يبغي سالفه نط خاص بس شوي شوي ماابغي جيش الله يرضالي عليكم بس بالعيد ماابغي هديه ولا ابغي شيء بس فكوني من كلمه بتصور معك شي حلو بشوف جدي وبطول معه ف العيد بس خلاص ماابغي اقعد كثير بالديره ولا يهمك ابشري بعزك
49,49,انا اتمني بس ابي اللي يدلعني وما يبخل علي بشيء ماابغي اصير زي اختي زوجها ما يصرف عليها ماابغي اتزوج بس اهلي بيزوجوني غصب والله انه اكثر شئ افكر فيه كيف بعيش مع شخص غريب بالمستقبل شئ يخوف تعيشي مع شخص غريب ترا جالسه اشوف الاشعارات بس انا ماابغي اهرج مع احد انا ماابغي اسافر مع احد بس عالاقل لو مسموح اسافر لوحدي راضيه لوحدك مستحيل لكن مع احد ممكن حتي مع احد اذا ماهو رجل برضو مافي امكانيه لاتفتكري اني مااقدر عليكي ماابغي اتامل زي كل سنه واخر شي مايحضرون بس جد جد نفسي لو مره اشوف م اعرف بس بصراحه لوعرفت انه يحب احد غيري راح اتركه يعيش هالحب صح اني راح اتالم لكن لاني احبه ماابغئ اشوفه زعلان ومتكدر ابتسامته تكفيني غيرنا والله م اعرف نفس الحاله لقيتو غيرنا بس ما تلقون مثلنا
50,50,تكابرنا علي العشره ولا بهه غيرنا خسران ليش غيرنا احسن منا اللي في يده شي في احد في اي احد الي يعرف طلعوا نصابين انشهد انهم انفجعوا في الاخير طلعوا نصابين المره الجايه بحولهم عليك لكن ماني مسؤوله لو طلعوا نصابين اما طلعوا نصابين صوره من الهويه ضروري لان كثير طلعوا نصابين ويعطون معلومات غير صحيحه اللي يبي يجحد براحته انا ماعندي الا وضوح ولا اطلب عربون ه ايوالله صادق وبالاخير طلعوا نصابين ويشحذون فوق انهم م يفهمون طلعوا نصابين وانا من ينقلها راح تكون حتي يحط الهمزه تحت وفوق يعرف ينقلها وانا حاذفتها من الحياه واضح مدرس ما نسي ولا همزه حتي بالغلط مع الوقت راح تتعلم انو مو كل الناس تستاهل تكون طيب معاهم والاغلبيه عيب اصلا تعطيهم اكثر من حقهم
51,51,عيشوا علي مبدا ممكن تكون اخر مره لنا مع بعض لانو يوم من الايام راح تكون اخر مره فعلا الغياب الابدي كلنا بنعيشه بس بالدور الفتره الجايه نقشاتي راح تكون كلمتين الثالثه كف ما عندك صبر كف ع طول خليه ع عرض راح تكون نفسيتك تعبانه جرب تكون مفهي هذاك الوقت راح تكون من اولوياتي راح انزل تحت هذي التغريده راح انزل مقارنه بين بعض المنتجات راح ل لو سمحتو شوي يفيدني ب يعني ايش يفيدني انا بالضبط لما اعرف كيف كانو لابسين للحين ادور الحين لو اقولش تسلقي جبل تسوينها
52,52,التحدي بـ شي يفيدني مو شي ياذيني او يوديني للخطر اذا جبل النفود عادي متعه واحبه اما غيره يمكن لا لا مو مؤدي الي عندنا عاديه اسهل عادي وش فيها تعرف تختار سهلات ومافيها الي عنده فكره ياريت الي عنده فكره بالموضوع يفيدني بالله الي عنده فكره يجاوبني وين ممكن احصل الي يصبغون فيه الشجر الي عنده فكره ياليت يفيدني الي عنده فكره متي وكيف يتفضل يشرح حد ينصحني فيهم هاذي هاذي سوياك وانت تقول ي حبي وش عاد خليت للي ما يدانيني عشان اضبط دقر طيب الباب دقر يعني وراه شيء مدقر بالهواء يعني دام عنده هالامكانيات وش بلاه دقر وضيع الفرصه معنا لايخوي انا اقولك مايقولون اللي اكبر منك بيوم افهم منك بسنه هو اكبر منهم ماتشوفه دقر شوي بالطلعه وهم عدو عادي تهقون ذكي الاب نفسيه بس كان قال صلاه الظهر ليه دقر عالفجر
53,53,انت ك ذكر وش قدمت اترك عنك انجازات غيرك قول انت وش قدمت انا متاكده ان عقلك دقر بالمتوسطه وين راحت السوالف مخي دقر ضيع كل شي وشلون عرفت هو صادق المرور ماسوا شي ياليتهم يسوون جزء من اللي كانت تسويه الهيئه واضح التعب من الكلجات المهم الي عندها خاتمه تقرير تسعفني فيها خلاص مخي وقف كنت بنسخ خاتمه تقرير حاهز بس تذكرت ان الدكتوره هي الي عطتنا ياه الي وقف عندها سؤال ي اهل النزاهه و الامانه ليش الي الان م اعلنتو عن نسب القبول الي وقف عندها كل تخصص و تسون زي باقي الجامعات ولا باقي م خلصتم تلاعب وشغل الواسط شغال كم النسب الي وقف عندها القبول وهل في مجال اذا احد سحب ملفه يتم قبول احد بداله ولا احد عنده اي احد عنده متابعين خلوه اعلامي استغرب هذا التاخير بالرواتب يعني نتحراه لنا يوم واخرته تاخرونه طيب متي ينزل يعني احد عنده علم
54,54,الناس الطبيعيين اذا حبوا احد يعبرون عن حبهم ويتميلحون عنده انا اتهاوش معه واحارشه لين يكرهني احيانا احس عندي خلل بالتعبير احد عنده اعتراض لاسمح الله اذا احد صورلي الشاشه اترك ام السالفه واشوف كم شحنه وكم الساعه وكيف النت عنده ياساتر وش ذا الفضاوه اللي عنده سالفه وما لقي احد يقولها له انا في الخدمه الان يا بخت الي عنده احد يقوله انتبه ع نفسك اخر مره انقالت لي كانت تهديد بهالوقت ما اظن فيه احد عنده عنصريه الا حقين الشيلات ياليت فيه عقوبه للشيلات لانها انتجت ناس متخلفين
55,55,بسال ودي اغيب واتغلي وتسذا بس اخاف محد يسال عني يارب انها تغيب وماحد يدري عنها وتتفشل خذها مني محد يسال الا انا بسال جربي حبيبي اللي تركت الغير علي شانه بس بسال وينه اليوم عني صاحبي بسال وعذرا عن سؤالي شنو شعورك وانت ما عندك شعور تبقي فيه ناس مهما حاولت تبقي كويس معاهم وفتحت صفحه ثانيه و ثالثه و عاشره مصرين علي نفس السوء لين تقطع الدفتر وتصفقهم فيه وش نسوي في هذول الناس اصفقهم من ثاني صفحه وارتاح طوال
