,start_time,end_time,Egyptian_Text
15,495.259,496.388,فاهماك طبعا
16,496.818,513.489,طيب اه زي ما قلت هنتكلم في نقطه ان الطفل ما يتعودش يمسك التلفون من وهو صغير يعني بتنصحي علي شان نقلل من مساوئ السوشال ميديا علي الاطفال قبل الكبار نعمل ايه مع الطفل يمسك التلفون وهو اربع سنين مثلا وللا
17,514.668,517.927,ويحتاجه في الدراسه هي افضل
18,585.079,598.869,فاهماك يعني بتقصدي ان احنا ما نخليش الطفل يمسك التلفون كوسيله ترفيهيه تبقي كوسيله للدراسه اللي احنا لجئنا ليها الفتره دي غصب عننا طبعا بسبب فتره الكورونا والتعليم الاون لاين مزبوط كده
19,601.7,619.419,طيب اه عايزه نتكلم لكل المساوي دي اكيد في اه فوائد للسوشال ميديا اه من ناحيه العلاقات الاسريه اه عرفينا فوايد السوشال ميديا و ازاي اتفرج برضه بشكل ايجابي علي ال العلاقات الثانيه
20,645.38,659.828,فاهماك طبعا طيب خلينا ناخد الفوائد كده الاول نتكلم عنها وبعدين نتكلم عن السلبيات و ازاي نتجنب السلبيات دي او نحاول نقلل منها اه علي شان ما تاثرش علي الصغير والاجيال اللي جايه
21,714.378,715.569,مزبوط كلامك
22,716.358,729.608,وبرضه كمان من بئي فوائد السوشيال ميديا انه برضه عرفتنا اي تطورات بتحصل في العالم مش بس بدولتنا لا كل العالم بئي عندك اطلاع في كل حاجه بتحصل حوليك
23,752.989,776.019,دا حقيقي عندك حق وبرضه ما ننساش برضه ان هي وسعت دائره علاقتنا الاجتماعيه يعني دي الوقت بتلاقي الناس منقسمه ناس عارفين بعض علي الحقيقه وناس عارفين بعض عن طريق السوشيال ميديا سواء الفيسبوك او انستاغرام او الكلام ده كله يعني وكمان الناس بقت تحس الناس اللي علي السوشيل ميديا قربين ليهم اكثر من الناس اللي علي الواقع
24,802.07,812.888,دا حقيقي طيب اه انا عرفه ان احنا تكلمنا عنها كتير بس برضه يعني اخ ال اه الموضوع بطريقه بسيطه
25,833.69,834.999,دا حقيقي للاسف بت
26,835.82,846.158,ولو دخلنا ب علي ابليكيشن بنخش علي ابليكيشن تاني وهكذا من ابليكيشين ل ابليكيشن ومش بتبقي ساعه ده ممكن يوم بحاله يضيع بسبب السوشيال ميديا
27,879.889,880.509,طيب
28,909.168,910.149,ده حقيقي
29,910.729,923.589,حضرتك قولي لنا ازاي نتجنب السلبيات دي وازاي ما تاثرش علينا اه زي ما قلنا انتي ع فحتقولي لنا في الاخر ازاي نقلل من اضرار السوشيل ميديا واني هي ما تاثرش بشكل سلبي علي الاسره
30,976.549,986.14,تمام جميل جدا اه برضه انا حابه اقول مثال اه يعني نختم بيه او يعني الخص دي اللي حضرتك قلتيه اني السكينه
31,986.629,995.53,اه ليها اضرار و برضه ليها فوائد انا اللي اقدر اتحكم فين و ازاي يكون السكينه ليها اضرار و لها فوائد و حطي خط تحت انا
32,996.5,1005.039,يعني يعتبر ان هي سلاح ذو حدين ممكن اني احنا نستخدمها فشيء غلط تمام وممكن اني احنا نستخدمها في شيء صح
33,1056.289,1067.44,صح و الاب و الام كمان انه هم يبداوا بدا مع اطفالهم من و هم صغيرين علي شان يربوا طفل سوي اه يكون بعيد عن العزله و التوحد و الكلام ده كله
34,1074.53,1076.739,حابه تضيفي اي شيء ثاني في الموضوع
35,1089.079,1090.329,الصوت مش واضح
36,1099.609,1100.798,سمعاكي اتفضلي
37,1120.909,1129.358,مضبوط كلامك اني انا اخذ منها كورسات اونلاين اه اتعلم ب لغه جديده الكلام ده كله تقصدي كده
38,1134.108,1151.078,اه بنتمني اني فعلا اني نفتح هذا ال تقلل من اه مم الانكولوس علي السوشل ميديا حتي ما ياثرش علي الاسره كلها اه و اني فعلا زي ما قلتي نبعد عن التلفون ما نصورش كل لحظه نستمتع باللحظه دي و احنا مع بعض
39,1151.69,1159.179,اه انا عارفه انه صعب طبعا بس احنا لازم نحاول فعلا علي شان يصير في ترابط اسري اه ما بينا
40,1177.789,12.399,ده اكيد احنا اللي تشرفنا فيكي و متشكرين جدا علي الكلام الرائع اللي حضرتك قلتيه و نستنيكي ان شاء الله في لقاءات ثانيه مع السلامه السلام عليكم النهار دا حنتكلم معكم في موضوع مهم جدا وهو في غايه الاهميه الا وهو الصحه
41,13.01,22.12,اه موضوع الصحه هو مش بيخصني انا بس لا هو بيخصني وبيخص كل فرد من افراد الاسره كلنا عارفين اني م
42,23.149,27.94,صحه حياتنا وسلوكياتنا هي طبعا اه اهم حاجه في حياتنا
43,28.399,40.029,واه حاسه اني في بعض العادات اللي ممكن يكون في كثير مننا بيعملها وبيستمر عليها ولكن للاسف هي ممكن تتحول اه لمشكله في ما بعد
44,40.49,48.13,ومع الوقت كمان ممكن تتحول لمرض فخلينا الاول نرحب بضيفتنا الجميله جدا وهي حتقول لنا بالظبط
45,48.709,54.009,ازاي نحافظ علي اسلوب حياتنا و نخليها نظام حياه صحي نتبعه
46,54.86,57.04,اهلا بك استاذه ودكتوره
47,82.61,88.599,اه صحيح جدا اه انا حابه انك تتكلمي وانا سمعاكي وكلي اذان صاغيه
48,101.569,102.58,تمام جدا
49,133.039,144.82,ايوه صح جدا كثير مننا بينسي انه يشرب المي وبيتجاهلها وكثير مننا ما بيعتبرهاش عاده للاسف ودا شيء خاطئ اه جدا
50,145.52,148.21,وبيسبب لنا اضرار كبيره جدا في ما بعد
51,153.619,154.929,جدا جدا
52,156.289,157.479,ولا غني عنه
53,159.588,160.478,صحيح
54,163.039,164.08,وجميل
55,166.22,167.619,اه اكلمك عن ورد
56,197.059,198.669,وجبن وهكذا
57,199.1,200.169,صحيح دكتوره
58,202.07,210.22,طيب خليني اسالك سؤال اه هل ايضا النشويات احنا ممكن نعتمد عليها في فطورنا وللا اه لا
59,224.99,225.699,اي
60,235.97,278.38,كويس جدا اه طيب استاذنك انك انت ممكن تخبر يعني ت تبلغينا او تكلمينا عن اه دور الرياضه وما افضل وقت لها هل مثلا الرياضه افضل وقت ليها ان هي تكون في الصبح بدري جدا اه قبل او بعد الفطور او مثلا اه م لا اه الرياضه لازم اعملها مثلا اه قبل الفطار بشكل كبير وللا بعد الفطار مثلا بساعه او وقت معين اه فانا حابه ان انا اتكلم معكي بالذات عن النقطه دي علي شان للاسف هي فيها شائعات كثيره جدا وفي ناس كل واحد بيعمل اللي هو بيبقي شايف من وجهه نظره انه صح ودي نقطه مهمه جدا خاصه مع اللي بيمارسوا رياضه يوميا بشكل
61,325.459,327.13,للاسف كثير مننا
62,327.589,336.337,اه بي بي بيتجاهل او بيجهل هذه النقطه و المعلوم وبيصحه من نوه تلاقي شرب كوبايه القهوه بتاعته
63,337.068,341.17,اواي نوع الكوفي وعلي طول راح مارس الرياضه بتاعته في الجيم
64,341.719,355.269,ف للاسف كويس انك يا دكتوره اكدت علي نقطه زي ديت لاني زي ما قلتلك اني في كتير مننا بيتعامل علي اني ده حاجات بديهه وبيتعامل علي اساس انها صحيه ولكن هي معلومات في اه
65,393.769,432.64,صحي جدا اه طيب دكتوره بعد اذنك خلينا نكمل كلامنا اه وانت ممكن تقول لنا عن وجبه الفطور او وجبه الفطار بمعني اصح اني هي اه عايزين نتكلم عن اي المفروض يكون موجود فيها وبعد كدا تكلميني عن وجبه الغداء وبعد كده ممكن اه نتكلم بباقي حديثنا عن وجبه العشاء عايزه بعد اذن حضرتك بالتفصيل الدقيق تشرحي لي ايه المناسب اني انا اكله فكل وجبه من الوجبات ديه سواء انا بعمل دايت او هل هي هتفرق اقصد لو انا بعمل دايت واللا مش هتفرق وده المفروض انه هو نظام حياه المفروض اني انا اتبعه
66,433.669,434.95,تفضلي انا معاك
67,489.528,498.727,كويس جدا دكتوره اه طيب اه عايزيه اخذ حضرتك علي شان نكمل باقي الموضوع اللي هي نقطه اه او وجبه العشاء
68,499.339,521.558,اي رايك انه احنا المفروض هل ناكل مثلا اكل بروتين زي ما حضرتك بتقولي بدون نشويات ونقلل نشويات واللا اه مم في ناس بتقول انه انا في العشاء يفضل اني انا ما اكل شيء حاجه واوقف اكل اني مثلا قبل النوم بثلاث اربع ساعات وابتدي اني مثلا اكل حاجه خفيفه اشرب حاجه خفيفه
69,522.02,530.44,انا كنت عايزه حضرتك تكلمينا عن اه النقطه ده باستفاضه اكثر علي شان الشائعات المروجه او عند ناس كتير
70,576.679,592.178,تمام جدا دكتوره طيب اه احنا ده الوقتي عرفنا وتكلمنا عن اللي اه الاكل المناسب في وجبه الفطار ووجبه الغداء ووجبه العشاء اه كنت عايزه اسال حضرتك سؤال هل دوت اه
71,592.819,602.74,اول الاول اللي حضرتك خصتي بيكون اه مناسب للدايت واللا ده المفروض اني انا اتعامل لي اساس انه هو نظامي غذائي لاي فرده الاسره
72,633.168,634.539,تمام جدا دكتوره
73,635.12,637.45,طيب كان في سؤال كده دائما اه
74,637.999,649.748,يعني اه انا عن نفسي بييجي ببالي كثير وناس كثير بيبقوا حابين انه هو يسالوه لو حد مثلا جسمه بدين شويه اه انا بعرف انها مثلا
75,650.958,676.329,مشكله بتكون موجهاه بشكل كبير اه وانا عارفه انه حضرتك برضه بتتكلمي عن نظام حياه لكن انا بسال ان لو حد مثلا بكون جسمه بدين شويه زي ماقلتلك اه هل بيعتمد علي المشروبات بتحرق جسمه علي مثلا وسائل ل لحرق الدهون واللا بيتبع هذا النظام وخلاص هو مع الاستمرار عليه لفتره طويله هو بالتالي اه وزنه هيقل
76,703.129,704.408,بتعتمد علي
77,717.468,735.249,حلو جدا دكتوره طيب اه كان في سؤال ثاني ا حابه اسالك واسالهولك برضو انه لو في حد نفسه ماشي علي نظام الحياه وزي ما حضرتك بتقولي ونفسه ياكل حاجه مثلا من الوجبات السريعه اه ايه المفروض انه هو يعمله
78,769.608,774.548,تمام اه طيب وايضا احنا عارفين انه احنا دلوقتي
79,775.107,780.668,مع التطور و تطور البرامج اللي هي الخاصه بال بالاكل وكذا
80,781.632,784.718,اه اني ب ا بقينا نقدر انه احنا نعمل في البيت
81,785.298,788.528,اي ايا كان من الاطعمه او ال
82,788.929,795.308,الوجبات السريعه ب ب ب باقل زيوت وبنسبه دهون وطريقه صحيه جدا
83,830.119,838.388,تمام طيب اه كنت حابه اسالك سؤال اه عن لو اه نقطه لو حد مثلا بيعمل دايت او كذا
84,839.456,857.108,هل انت من محبين او بتتبعي نظام دكتوره انه كل اسبوع بياخد يوم فري يقدر انه هو يكسر فيه حاجز ال اه النظام الروتيني اللي جسمه تعود عليه ولا اه بتشوفي نداء نظام حياه وخلاص تمام انا ما فيش فري في نظام الحياه
85,857.539,858.7,لطبيعه اكلي
86,921.798,923.798,صحيح كلامك جدا مزبوط
87,924.858,929.71,ا طيب برضو في نقطه مهمه جدا كنت حابه اتكلم معاك فيها وهي الاطفال
88,930.138,968.589,اه مم كثير من اطفالنا او كثير من امهات بيواجهوا مشكله انه هم زي يعودوا اطفالهم علي نقص ال ال الاكل الصحي اه لانه الاطفال طبعا اه معظمهم بيحبو انه هما ياكلو الاكل السكوي اكتر الوجبات السريعه زي ما حضرتك عارفه وانه هم كمان بيحبو انه هما يعتمدو علي الشكل اكتر من الافاده اللي هياخدوها من ورا الاكل سواء كان الخضار او الفاكهه او كذا هل بتنصحينا ب ح نقاط نقط معينه انه نحن نقدر نعملها مع الصنه ناحيه انه هم يستفادو بشكل كبير مع الاطفال ولا
89,970.578,971.408,اتفضلي
90,1028.809,1030.449,جميل جدا دكتوره
91,1053.229,1054.028,كتير من
92,1054.848,1055.649,تفضلي
93,1090.4,1113.458,صحيح كثير مننا اه للاسف بيعتمد علي اه انتي وجباته الاصل وجبات الطعام للاطفال انه هو لا اهم حاجه ياكل الكميه ولكن قليل جدا من الامهات بيكون عندهم الوعي والادراك انه هم بيعتمدو علي الافاده يعني الطفل مش حيفيده حاجه بالعكس هيضره انه هو لو فضل ياكل مثلا طبقين رز
94,1114.19,1120.839,في في بالمقابل انه مثلا في طفل ثاني ممكن ياكل البروتين بتاعو ومعلقتين ثلاثه رز
95,1121.359,1124.859,فا ذي نقطه كنت حابه انك حضلك توضيحيها اكتر معليش
96,1167.919,1199.048,اه شكرا جدا دكتوره علي اه الكلام المفيد الي احنا استفدنا منك النهرده بسببه اه شكرا جدا علي المعلومات يلي احنا فعلا استفدنا منها وانا شخصيا استفدت وهبتدي اننا طبق النظام الحيات صحي معايا ومع اولادي اه بشكرك جدا وان شاء الله نتقابل في لقائات ثانيه واتمني ان نحن نكون قدرنا نوصل المعلومات بطريقه بسيطه وسهله ل لكل المستمعين سواء الاطفال او الامهات او الكبار
97,1199.509,17.5,و شكرا وسلام وعليكم صباح الخير والنهار دا هنتكلم معاكم في موضوع مهم جدا اه وهو موضوع اه الفن واهميته في حياتنه وايه هو الفن بس خلنوني في البدايه ارحب في ضيفتي الجميله جدا
98,17.93,20.68,اهلا بيكي ومنورانا ومنوره الدنيا كلها
99,38.06,40.33,اه فعلا الفن اه
100,40.759,43.09,هو نابع من من مشاعرنا
101,43.549,50.83,اه الفن هو الوسائل او ال اه ب الحاجه اللي بيعبر بيها الفنان عن اللي جواه
102,51.77,85.839,فهي عباره عن انه بيترجم مشاعره ديه اللي بيشعر بيها سواء من سواء كان ايجابي او سلبي اه من كما انه انه هو ممكن يكون من اقوي الوسائل اللي احنا بنقدر اه نرسل بيها رسائل معينه للمجتمع الفن هو اكبر دليل علي الموهبه فا البعض مننا موهوب في الرسم الاخر في الغني مثلا في مننا في التمثيل في مننا في حاجات كثيره ولكن ايضا في مننا في الفن اه الشعر في في مواضيع ثانيه مثلا وفي الكتابه وهكذا
103,101.0,102.22,اني شكرا
104,103.01,111.309,بدايه اه خلينا نتكلم عن اه الفن هو وسيله بيترجم صاحبها المشاعر والصراعات اللي بتمر من جواه
105,111.709,120.129,فهل هو بيستطيع الفنان من وجهه نظرك مثلا انه هو بيقدر يحول الواقع لعالم خيالي ولا بيبقي صعب
106,148.309,160.778,طيب جميل جدا اي رايك اني انتي تعا يعني نتكلم عن اهميه الفن وانه هل له اهميه اقتصاديه كبيره في المجتمع ول اه اقتصاديته و اهميته محدوده
107,186.77,196.449,تمام طيب وهو اه الفن بيحمل اه اهميه ثقافيه كبيره في المجتمع يعني من فضلك خبرينا في نطق هذه ال اه
108,197.389,198.19,النقطه
109,222.83,232.839,تمام طيب خلينا اسالك انه هل الفن له اثر ايجابي علي الصحه النفسيه للانسان يعني اتمني انه احنا نتكلم في الصفه دا اكثر في النقطه دي تحديدا معليش
110,261.648,262.899,من شكل افضل
111,264.32,270.82,التمام حلو جدا طيب اه عايزين يتكلم عن الفن و اقسام الفن بشكل اوسع
112,271.339,274.6,و اه وهل اقسامه عديده ام محدوده
113,275.839,280.269,ف اه خلينا نبدا نتكلم اه عنه بشكل مفصل
114,282.109,283.6,ايه شوفي والله صح
115,309.619,310.54,اه نعم
116,319.97,323.739,طيب ايه رايك انه احنا نختار موضوع من انواع الفن ونتكلم عنه
117,324.198,330.639,اه طبعا بعد اذنك يعني بنتكلم اه باستفاضه اكثر يعني مثلا تعالي نختار موضوع الرسم
118,331.369,336.49,انا اعرف ان موضوع الرسم هو فن جميل جدا فخلينا نتكلم عنه شويه
119,385.219,386.98,نعم جدا رائع
120,387.498,388.42,اه مم
121,410.838,415.569,انا اسفه ع اه الشبكه بتقطع اه تقدري تسمعيني دي الوقت بوضوح
122,421.398,424.6,فعلا زي ما تكلمنا ان ال الرسم هو
123,425.24,428.378,من اهم الفنون اه و ان هو بيكون
124,429.198,436.628,يعني انا بشوف ان هو بيكون موهبه اكتر من ان هو بيكون مثلا اه حاجه انا بتعلمها لما بكبر
125,437.6,460.54,طيب خلينا نتكلم برضه عن فن السينما عايزين ن نتحدث عنه بشكل واضح و اه ان السينما و المسرح لهم دور كبير جدا انه هم اه من بالهم ان قدرنا نعرف الفن و ان بنتعرف علي ثقافات عديده من بلاد اخري و ان برضه قدرنا من خلال الفن و المسرح انه نعرف ال اه مم
126,461.207,474.159,الزمن مثلا ي ال القديم كان اه اه لبسوه و كان اه معاملتهم هم مع بعض و حاجات كثيره جدا قدرنا نعرفها بسبب الفن و اه و المسرح عموما
127,475.068,477.37,فخلينا نتكلم عنه بشكل مبسط
128,480.529,483.008,
129,521.48,522.639,صحيح جدا
130,568.639,571.629,صحيح جدا و كلامك جدا اه واضح
131,572.178,574.148,و عندك حق جدا
132,575.48,586.96,فكنت عايزه اتكلم معاك فنقطه كمان و هو مثلا من انواع زي ما تكلمنا انواع الفن هو نوع مشهور جدا و موجود من زمان و هو فن الشعر
133,587.99,594.729,اه هو ممكن يكون دي الوقت ما بقاش موجود بشكل كبير زي ما احنا كنا عارفين انه زمان هو ليه تاثير واضح
134,595.279,596.529,في في المجتمع
135,597.798,609.848,اه و انه كان اكثر في ايام العصر الجاهلي و العصر الاسلامي و ما الي ذلك اه فكنت عايزه اسالك سؤال هل هو فعلا ما بقاش موجود في الفتره ديت و لكن موجود
136,610.34,612.039,اه بصوره قليله
137,665.539,666.819,و جميل جدا
138,678.68,679.27,لاني
139,686.81,687.819,والتمام
140,689.209,698.319,حضرتك بتقولي اني الوزن اللي الموج الشعر اللي موجود اقصد اه ما بتسموهش شعر بسبب انه لابيعتمد لا وزن ولاقافيه
141,698.9,702.128,اه اومال مثلا ممكن نطلق عليه اسم ايه
142,720.05,731.589,تمام طيب  اه بدايه خلينا نتعرف مثلا اه او نعرف الفن بصوره ثانيه او مثلا تقدري توصليهالنا بصوره ابسط عرفينا الفن اقصد
143,733.039,739.628,وعرفينا ايضا تعريف الفنان واني انا عارفه اني هم الاثنين الفرق مابينهم طفيف جدا وبسيط
144,740.06,744.549,فا خليني اعرف منك باه بطريقه مبسطه اكثر
145,789.14,790.359,اه جدا
146,812.539,850.359,صحيح جدا انا لسا بتكلم معاك في البدايه اني مش الرسم فقط ولكن انواع الفنون معظمها هي بتكون موهبه اكثر من اي هي بتكون بال بالممارسه طبعا هي بتزيد  وبنقدر نطور منها بالممارسه بعد مثلا ما منكبر وكده ولكن في الاصل هي بتكون موهبه اه زي مثلا اه مثال بسيط الغنا الغنا هو موهبه في الاساس بيعتمد علي الموهبه اني انا مثلا بكتشف اني طفلي الصغير او حد ما اه بيبقي صوته جميل  بيقدر انه يجيب اللحن بيقدرانه هو اه ام
147,850.939,863.41,يتناغم مع الاغنيه ولكن اه لما بيدخل في الموضوع الغنا دوت بيبتدي انه هو يطور من نفسه  بيعرف حاجات جديده بيتعلم حاجات اكثر صحيح
148,885.289,951.91,صحيح قدمت اه في كثير اسر ما يعني ما بتهتمش انها مش بتهتم اه بالمواهب واه مش حقدر اقول حاجه غير كده وبانواع الفنون اللي هي ممكن اه تظهر بشكل غير مباشر علي الاطفال طبعا هو مش بيظهر بشكل واضح اني ياماما لا انا صوتي حلو  روحي قدميلي لا طبعا ولكن بيظهر ان انا بلاقي طفلي ميوله للغناء بتبقي اكثر بلاقي انه هو بيبقي مهتم بالغنا اكثر عن باقي ال اه الفنون الثانيه فبالتالي اني انا بقدر المس  ني هو كده خلاص عنده شبه ها موهبه اه في النقطه ديت بالتحديد فبقدر ان انا المفروض اطور منه اه في بعض الاهالي جدا ان هم للاسف الشديد ان هم مش بيطوروا من مواهبهم بيبقوا شايفين انه العامل الاساسي  والرئيسي اني اهتم بدراستك  ذاكر عندنا في مصر للاسف في كده عاده خاطئه اني كل ما يلاقوا الطفل اي هوايه ثانيه او موهبه ثانيه او اي نوع من الفنون لا ذاكر الاول لما تخلص تعليمك يبقي نشوف اي حاجه من الحاجات اللي انت عايز تعملها
149,962.78,964.898,يصير غلط
150,991.339,992.049,ابن
151,998.449,1004.888,صحيح جدا كلامك يعني بجد اه واضح وفعلا عندك حق في ال في اللي بتقوليه
152,1039.577,1063.118,صحيح جدا في مننا كثير ناس ان هي بت اه مزاجها بيتغير لما بتستخدم نوع من انواع الفنون في ناس مثلا للكتابه في ناس الغ الغناء في ناس مثلا الرسم اه وهكذا بين باقي الفنون اه مشكوره جدا دكتوره علي كلامك  ولكن انا حباكي حابه ان انت تعرفيلنا ال اه الفنان
153,1063.728,1070.618,زي ما قولنا ان هو الفرق مابينه وما بين الفن طفيف فخلينا نعرف الفنان من هو الفنان
154,1118.599,1127.89,اه كويس جدا  اه حابه ان انا اتكلم معاك عن نوع اخر من الفنون وهو الاقرب لقلبي شخصيا وهو الرسم
155,1128.349,1145.078,ازاي نفرق مابين الموهوب في الرسم ولا وانه زي ما انت عارفه انه اصبح منتشر بشكل واضح وكبير جدا في الفتره الاخيره و وايضا ال الرسم باختصار هو في ناس كثير جدا في الفتره ب بتعتبره مصدر دخل ليهم
156,1145.539,1147.989,عايزين نتكلم علي النقطه زي باختصار جدا
157,1174.519,4.63,صحيح اه في نهايه لقائنا انا حابه اشكرك جدا علي انك قدرتي تفيدينا بالمعلومات الجميله والبسيطه وان احن اقدرنا نستفيد منك بشكل مبسط اه بمعلوماتك وو ان شاء الله باذن الله اه لنا لقاءات اخري مع السلامه
158,21.11,34.959,حبيبتي ربنا يخليكي يا رب دا نورك و عاوز اقول لك انه هذا من اهم و احب المواضيع و الخفيفه جدا علي قلبي يعني لما نتكلم عن الفن فتاكدي انك ه تتكلمي يعني باريحيه جدا في الموضوع دا
159,86.449,98.8,جميل جدا اه مبسوطه جدا بالمقدمه الرائعه ال اه التي قدمتيها دي و مبسوطه جدا بيها اه معك بقي اساليني و انا اجاوبك علي انت عايزاه
160,121.568,129.937,اه شوفي اس السؤال جميل جدا طبعا الفنان ب يقدر انه هو يحول الواقع الي عالم خيالي
161,130.554,137.223,طيب دليل انه ال اه ب يرجع لان الفنان يتمتع بخيال واسع و ذكاء حاد
162,138.035,145.3,يعني برضه الي جانب قدرته علي التطوير من الفن وانه هو الافكار اللي هو ب يستطيع يقدمها
163,162.076,183.882,اه لا طبعا له اهميه كبيره جدا في المجتمع و كمان في مختلف المجالات يعني مش في مجال واحد بس لا في مجالات عديده ايضا ب يحسن مستوي المعيشه اه انه هو ب يرفع من دخل الفرد لو فنان اه مثلا في الرسم يقدر انه هو يتكسب من ال اه الفن دا و الكلام دا كله
164,199.369,219.183,اه طبعا ب يحمل اهميه ثقافيه كبيره جدا جدا في المجتمع اللي احنا عايشين فيه و ب يسلط الضوء علي القيم الاجتماعيه اللي موجوده منها حريه التعبير اللي بتساعد علي اه تعزيز الثقه بالنفس وتنميه المهارات و انه هو ينمي ايضا افكاره
165,233.41,252.149,شوفي دا سؤال مهم جدا اه ب تقولي انه الفن له اثر ايجابي علي الصحه النفسيه انا في بدايه كلامي لما قولتي لي برحب و ب اتكلم معك عن موضوع الفن قلت لك انه موضوع الفن مجرد ما تتكلمي عنه هو فعلا يدخل السرور و البهجه علي قلبنا كلنا
166,252.712,259.18,يعني ان الفن اصلا في الاصل ب ينشر الجمال و الخير وبرضه ب يساهم في انه هو
167,260.869,262.059,بشكل افضل
168,281.51,283.029,اه شوفي و الله
169,284.932,292.899,له اقسام عديده منها الفنون الصوتيه اللي موجوده و متمثلو في السينما و المسرح و الشعر و الغناء
170,293.337,306.458,وبرضه الموسيقي و اه اه الفنون التشكيليه الفنون التشكيليه زي اي عندنا زي فن الهندسه و فن العماره و الرسم والتصوير ايضا يعد فن
171,309.62,318.578,والفنون حركيه اه زي الالعاب الرياضيه والرقص والالعاب السحريه كل هذا ايضا يعد فن
172,338.539,353.889,اه جميل جدا  فن الرسم ذا من اهم الفنون اللي انا بشوفها من وجهه نظري وهي من اقوي الوسائل اللي بترجم المشاعر التي بتكون بداخل الانسان وصراعات اللي بداخله ايضا
173,354.378,365.378,يعني زي الرسم الهندسي والرسم التشكيلي و الرسم التوضيحي ايضا له قدره كبيره جدا ان هو يعزز العاطفه لدي الانسان
174,365.779,378.939,يعني ايضا من اشهر الفنانين في هذا الفن الفنان اه طبعا عرفاه كلنا عارفينه اللي بجسد لوحاته  وبتحسيه انها صوره حقيقيه مش مجرد رسمه
175,400.999,402.635,سمعاني
176,416.3,417.699,اه نعم تفضلي
177,479.989,493.837,اه جميل جدا انا باؤمن ان هذه الكلمه اه هو اكثر اه فن صادق وبذات اللي بقدمه الفنان لينا لانه السينما هي بكل بساطه اه عباره عن شايقه
178,494.36,505.629,سوداء عميقه بكل التفاصيل اللي فيها هي بتحاكي الواقع وايضا الخيال يعني مش بتحاكي الواقع فقط ولا الخيال فقط الاثنين معا
179,506.42,520.058,وكل منهما منغمس في الوعي واللا وعي يعني مثلا فن السينما يتميز بالرقه والفلسفه وقصص السينما تكون بسيطه
180,521.209,531.099,اه ونلاحظ ان العمل الفني اه يؤسس علاقه لطيفه جدا اه بين المشاهد والفلم و
181,531.62,538.959,ينحصر في جوهره الفن اه اللي بيحتوي عليها الغموض اللي
182,539.72,566.829,يحرك المشاعر لدي المشاهد ويجعله يعني حائرا في افكاره اه ويفكر ويحلل هذا المشهد الدرامي او المشهد السينمائي اه هذا نوع جميل جدا من افن يعني زي ماقولتلك بحسه قريب جدا للناس واكثر فن صادق و هو يعتبر وسيله لاثاره الافكار اه والتخيلات لدي المشاهد
183,614.6,628.929,جميل جدا فن الشا ما بقاش موجود في الفتره ديه اه يكان يكون اختفي اصلا يعني اه كنا الاول نسمع اه شعراء اه
184,629.87,634.03,ينظمونا اه جلسات شعريه و
185,634.699,639.189,ويتبادلون فيها الشعر ويلتزمون بقا الوزن والقافيه
