English Text,Modern Standard Arabic (MSA) Translation,Dialect Translation,Context and Rating,Dialect Notes,In-Game Context
"You're in charge of organizing Al-Ahsa's annual date festival! Set up the stalls, coordinate with vendors, and ensure there's enough delicious dates for everyone. Don't forget the traditional music and dance performances!",أنت المسؤول عن تنظيم مهرجان التمر السنوي في الأحساء! قم بإعداد الأكشاك، وتنسيق مع البائعين، وتأكد من وجود ما يكفي من التمور اللذيذة للجميع. لا تنسى عروض الموسيقى والرقص التقليدية!,انت المسؤول عن تنظيم مهرجان التمر السنوي في الأحساء! جهز الأكشاك، وتعاون مع البائعين، وتأكد من توفر التمر للجميع. ما تنسى عروض الموسيقى والرقص التقليدي!,This dialogue involves organizing a traditional festival with a focus on community activities.,"""التمور"" is used for dates, and ""مهرجان"" for festival",Player organizing a traditional date festival with various activities.
"Journey through the ancient trade routes of Najran. Discover hidden treasures, solve historical puzzles, and learn about the region's rich trade history. Your path is guided by ancient maps and legends.",سافر عبر طرق التجارة القديمة في نجران. اكتشف الكنوز المخفية، وحل الألغاز التاريخية، وتعرف على تاريخ التجارة الغني في المنطقة. مسارك موجه بواسطة خرائط وأساطير قديمة.,سافر على دروب التجارة القديمة في نجران. اكتشف الكنوز المدفونة، وحل الألغاز التاريخية، وتعرف على تاريخ التجارة العريق في المنطقة. مسارك راح يكون بمساعدة خرائط وأساطير قديمة.,This dialogue blends historical exploration with adventure.,"""دروب"" is used for ""routes"", and ""عريق"" for ""rich""",Player exploring ancient trade routes and uncovering historical secrets.
"We've landed in ancient Diriyah! Quick, adjust your language settings or the locals will think we're jinn!",لقد هبطنا في الدرعية القديمة! بسرعة، اضبط إعدادات لغتك وإلا سيظن السكان المحليون أننا من الجن!,حطينا في الدرعية القديمة! يالله بسرعة، عدّل طريقة كلامك لا يحسبونا جنّ الناس هنا!,"This dialogue combines historical settings with sci-fi elements. ""حطينا"" is used for ""we've landed"" in Najdi.","""يالله"" is used as an interjection, and ""لا"" is used for ""or else""",Players time-traveling to historical Saudi Arabia.
"The Red Sea's coral reefs are delicate. We must build our underwater city in harmony with nature, not against it. Let's start by cultivating artificial reefs to support marine life.",شعاب البحر الأحمر المرجانية حساسة. يجب أن نبني مدينتنا تحت الماء بانسجام مع الطبيعة، لا ضدها. لنبدأ بزراعة الشعاب الاصطناعية لدعم الحياة البحرية.,حيود البحر الأحمر رهيفة. لازم نبني مدينتنا تحت المية متناغمة مع الطبيعة، مو ضدها. يلا نبدأ نزرع حيود صناعية عشان ندعم الحياة البحرية.,"This dialogue emphasizes environmental consciousness in a futuristic setting. ""حيود"" is used for ""reefs"" in Hijazi.","""رهيفة"" is used instead of ""حساسة"", and ""مو"" is used for negation",Player designing an eco-friendly underwater city in the Red Sea.
"Our ancestors extracted black gold from this land, but now it's our duty to heal it. We'll use bioremediation techniques to clean the soil and plant native species to restore the ecosystem.",استخرج أجدادنا الذهب الأسود من هذه الأرض، ولكن الآن من واجبنا أن نعالجها. سنستخدم تقنيات المعالجة الحيوية لتنظيف التربة وزراعة الأنواع المحلية لاستعادة النظام البيئي.,جدودنا طلعوا الذهب الأسود من الأرض هذي، بس الحين واجبنا نعالجها. بنستخدم طرق المعالجة الحيوية عشان ننظف التربة ونزرع النباتات المحلية عشان نرجع النظام البيئي.,"This dialogue addresses environmental restoration in former oil fields. ""جدودنا"" is used for ""our ancestors"" in Eastern dialect.","""طلعوا"" is used instead of ""استخرج"", and ""بس"" is used for ""but""",Player managing the ecological restoration of a former oil field.
Grandpa says we should build our new school on the mountaintop so the students' brains will be closer to the stars. But I think it's because he doesn't want to climb the hill to go fishing at the lake!,يقول جدي أنه يجب أن نبني مدرستنا الجديدة على قمة الجبل حتى تكون عقول الطلاب أقرب إلى النجوم. لكنني أعتقد أن السبب هو أنه لا يريد تسلق التل للذهاب لصيد السمك في البحيرة!,جدي يقول لازم نبني المدرسة الجديدة على راس الجبل عشان عقول الطلاب تكون قريبة من النجوم. بس أنا أحسب السبب إنه ما يبي يطلع التل عشان يروح يصطاد في البركة!,This humorous dialogue plays on the wisdom of elders and practical considerations.,"""راس"" is used instead of ""قمة"", and ""يبي"" is used for ""wants""",Player deciding on the location for a new school in a mountain village.
"Welcome to Virtual Riyadh 2050! You can scale the Kingdom Tower, ride a flying taxi through the sky lanes, or explore the underground eco-gardens. Don't forget to adjust your personal climate control - it's still hot up here in the future!",مرحبًا بكم في الرياض الافتراضية 2050! يمكنكم تسلق برج المملكة، وركوب سيارة أجرة طائرة عبر الممرات الجوية، أو استكشاف الحدائق البيئية تحت الأرض. لا تنسوا ضبط التحكم المناخي الشخصي - لا يزال الجو حارًا هنا في المستقبل!,يا هلا فيكم في الرياض الافتراضية 2050! تقدرون تطلعون برج المملكة، أو تركبون تكسي طاير في الممرات الجوية، أو تستكشفون الحدايق البيئية تحت الأرض. لا تنسون تضبطون التحكم بالمناخ الشخصي - الجو للحين حار هنا في المستقبل!,This dialogue paints a vivid picture of a futuristic city while maintaining local climate references.,"""للحين"" is used for ""still"", and ""تقدرون"" for ""you can""",Player experiencing a virtual tour of futuristic Riyadh.
"The old merchant's diary mentions a hidden chamber beneath Al-Balad, but the ink is faded. We need to use UV light to reveal the invisible ink and decode the ancient Hijazi script. The chamber might contain artifacts from the early Islamic period!",تذكر مذكرات التاجر القديم غرفة خفية تحت البلد، لكن الحبر باهت. نحتاج استخدام الأشعة فوق البنفسجية لكشف الحبر غير المرئي وفك شفرة النص الحجازي القديم. قد تحتوي الغرفة على قطع أثرية من العصر الإسلامي المبكر!,دفتر التاجر القديم يحكي عن حجرة مخبية تحت البلد، بس الحبر باهت. لازم نستخدم ضوء فوق البنفسجي عشان نظهر الحبر المخفي ونفك رموز الكتابة الحجازية القديمة. يمكن الحجرة فيها آثار من بداية الإسلام!,"This dialogue combines historical elements with modern investigation techniques. ""حجرة"" is used for ""chamber"" in Hijazi.","""يحكي عن"" is used instead of ""يذكر"", and ""عشان"" is used for ""to""",Player decoding ancient texts to uncover historical secrets in Jeddah's old town.
"The Gulf's ecosystem is fragile. As we build this artificial island, we must consider the impact on marine life. Let's incorporate artificial reefs and use eco-friendly materials. Remember, we're not just building for humans, but for all creatures of the sea.",النظام البيئي للخليج هش. أثناء بناء هذه الجزيرة الاصطناعية، يجب أن نراعي تأثيرها على الحياة البحرية. دعونا ندمج الشعاب الاصطناعية ونستخدم مواد صديقة للبيئة. تذكروا، نحن لا نبني للبشر فقط، بل لجميع مخلوقات البحر.,بيئة الخليج حساسة. وحنا نبني الجزيرة الاصطناعية هذي، لازم نفكر بتأثيرها على الكائنات البحرية. خلونا ندخل الشعاب الصناعية ونستخدم مواد ما تضر البيئة. تذكروا، ما نبني للناس بس، نبني لكل مخلوقات البحر.,This dialogue emphasizes sustainable development and environmental consideration.,"""حنا"" is used for ""we"", and ""ما تضر"" for ""eco-friendly""",Player designing and constructing an eco-friendly artificial island in the Arabian Gulf.
"Our mud-brick towers have stood for centuries, but climate change threatens them. We need to document these structures using 3D scanning, then develop preservation techniques that respect traditional methods while incorporating modern technology to protect against extreme weather.",صمدت أبراجنا الطينية لقرون، لكن تغير المناخ يهددها. نحتاج إلى توثيق هذه الهياكل باستخدام المسح ثلاثي الأبعاد، ثم تطوير تقنيات الحفظ التي تحترم الأساليب التقليدية مع دمج التكنولوجيا الحديثة للحماية من الظروف الجوية القاسية.,أبراجنا الطينية عمرها قرون، بس تغير المناخ يهددها. محتاجين نوثق المباني هذي باستخدام المسح ثلاثي الأبعاد، وبعدين نطور طرق حفظ تحترم الطرق القديمة وتدخل التقنية الجديدة عشان نحميها من الطقس القاسي.,This dialogue addresses the preservation of traditional architecture in the face of modern challenges.,"""محتاجين"" is used for ""we need"", and ""عشان"" for ""in order to""",Player working on preserving ancient mud-brick structures against climate change.
The desert sands look like alien dunes from up here!,تبدو رمال الصحراء مثل الكثبان الفضائية من هنا!,الرمل يشبه كثبان الفضا من فوق!,This dialogue combines traditional landscape with futuristic scenario.,"""فوق"" is used instead of ""هنا"" for ""up here""",Astronaut character observing Earth from a space station.
The coral reefs of the Red Sea hide many secrets.,تخفي الشعاب المرجانية في البحر الأحمر العديد من الأسرار.,حيود البحر الأحمر فيها أسرار كثيرة.,"This dialogue introduces marine exploration. ""حيود"" is used for coral reefs in Hijazi.","""فيها"" is used instead of ""تخفي""",Player exploring the underwater world of the Red Sea.
Each drop of oil tells a story of millions of years.,تحكي كل قطرة نفط قصة ملايين السنين.,كل نقطة زيت تسولف عن ملايين السنين.,"This dialogue reflects on the oil industry heritage. ""زيت"" is used for oil, and ""تسولف"" for storytelling in Eastern dialect.","""نقطة"" is used instead of ""قطرة""",Player managing operations on an offshore oil rig.
The goats are better climbers than us!,الماعز أفضل منا في تسلق الجبال!,العنز أشطر منا في طلوع الجبال!,"This humorous dialogue compares human and animal abilities. ""عنز"" is used for goats in Southern dialect.","""أشطر"" is used instead of ""أفضل""",Player attempting to climb a steep mountain path.
Put on the VR headset to see the hidden treasure map!,ارتدِ نظارة الواقع الافتراضي لرؤية خريطة الكنز المخفية!,البس نظارة الواقع عشان تشوف خريطة الكنز المخبية!,This dialogue combines modern technology with traditional treasure hunting.,"""عشان"" is used instead of ""لكي""",Player using VR technology to uncover hidden clues.
The secret message is hidden in the coffee grounds.,الرسالة السرية مخفية في ثفل القهوة.,الرسالة السرية مخبية في تفل القهوة.,"This dialogue introduces a mystery in a traditional setting. ""تفل"" is used for coffee grounds in Hijazi.","""مخبية"" is used instead of ""مخفية""",Player solving a mystery in a traditional Arabic coffee house.
The sun that once burned us now powers our homes.,الشمس التي كانت تحرقنا في السابق تزود منازلنا بالطاقة الآن.,الشمس اللي كانت تحرقنا صارت تنور بيوتنا.,"This dialogue reflects on technological progress. ""تنور"" means to light up in Eastern dialect.","""صارت"" is used instead of ""أصبحت""",Player managing a solar farm in the desert.
Choose your words wisely to bring peace between the tribes.,اختر كلماتك بحكمة لتحقيق السلام بين القبائل.,انتقي كلامك بحكمة عشان تصلح بين القبايل.,"This dialogue explores traditional conflict resolution. ""تصلح"" means to reconcile in Southern dialect.","""قبايل"" is used instead of ""قبائل""",Player acting as a mediator between conflicting tribes.
Program the drones to water the vertical farms!,برمج الطائرات بدون طيار لري المزارع العمودية!,برمج الدرونات تسقي المزارع اللي فوق!,"This dialogue combines agriculture with future tech. ""درونات"" is used for drones in Najdi.","""اللي فوق"" is used instead of ""العمودية""",Player managing a high-tech urban farm.
Walk in the footsteps of the ancient pilgrims.,سر على خطى الحجاج القدامى.,امشي على درب الحجاج الأولين.,"This dialogue introduces historical exploration. ""درب"" means path in Hijazi.","""الأولين"" is used instead of ""القدامى""",Player experiencing a historical pilgrimage route.
We need to contain the spill before it reaches the shore!,علينا احتواء التسرب قبل أن يصل إلى الشاطئ!,لازم نحاصر البقعة قبل ما توصل البر!,"This dialogue addresses environmental challenges. ""بقعة"" is used for oil spill in Eastern dialect.","""لازم"" is used instead of ""علينا""",Player leading an emergency response to an oil spill.
The camel ate our map! Navigate by the stars!,أكل الجمل خريطتنا! تنقل باستخدام النجوم!,البعير كل خريطتنا! دلّ طريقك بالنجوم!,"This humorous dialogue introduces traditional navigation. ""دلّ طريقك"" means to find your way in Southern dialect.","""كل"" is used instead of ""أكل""",Player using celestial navigation in the desert.
Hack the firewall to stop the virus attack!,اخترق جدار الحماية لإيقاف هجوم الفيروس!,كسّر الجدار عشان توقف هجمة الفيروس!,"This dialogue brings cyber security to life. ""كسّر"" is used for hack in Najdi.","""هجمة"" is used instead of ""هجوم""",Player defending against a cyber attack in a virtual world.
Mix the olive oil and lye carefully to make Nabulsi soap.,امزج زيت الزيتون والصودا الكاوية بعناية لصنع صابون نابلسي.,خلط زيت الزيتون والقلي بحرص عشان تسوي صابون نابلسي.,"This dialogue explores traditional crafts. ""قلي"" is used for lye in Hijazi.","""تسوي"" is used instead of ""تصنع""",Player creating traditional soap in a mini-game.
Hold your breath and dive deep for the oysters!,احبس أنفاسك وغص بعمق بحثًا عن المحار!,شد نفسك وغوص عميق ودوّر على الصدف!,"This dialogue revives traditional pearl diving. ""صدف"" is used for oysters in Eastern dialect.","""شد نفسك"" is used instead of ""احبس أنفاسك""",Player participating in a traditional pearling expedition.
Each constellation tells a Bedouin legend.,تحكي كل مجموعة نجمية أسطورة بدوية.,كل برج في السما له قصة من حزاوي البدو.,"This dialogue combines astronomy with folklore. ""حزاوي"" means stories in Southern dialect.","""برج"" is used instead of ""مجموعة نجمية""",Player learning about constellations and Bedouin legends.
Upgrade your robot camel's speed chip for the big race!,قم بترقية رقاقة السرعة في جمل الروبوت للسباق الكبير!,طور شريحة السرعة في جملك الروبوت للسباق!,"This dialogue blends traditional camel racing with futuristic technology. ""طور"" means upgrade in Najdi.","""جمل الروبوت"" is used instead of ""جمل الروبوت""",Player customizing a robotic camel for a futuristic race.
"Yallah, let's catch the metro before it leaves!",هيا، لنلحق بالمترو قبل أن يغادر!,يلّا نلحق القطار قبل لا يفوتنا!,"This dialogue adds urgency to a city scene. ""يلّا"" is a common expression meaning ""let's go"" in Najdi.","Use of ""قبل لا"" instead of ""قبل أن"" is typical in Najdi.",Player rushing to catch public transportation in a busy city.
The old manuscript mentions a hidden treasure in the mountain.,تذكر المخطوطة القديمة كنزًا مخفيًا في الجبل.,الكتاب العتيق يحكي عن دفينة في الجبل.,"This dialogue introduces a treasure hunt. ""دفينة"" is a Hijazi word for hidden treasure.","""عتيق"" is used instead of ""قديم"" for old",Player deciphering an ancient text to locate a hidden treasure.
Grandmother's majlis is filled with the aroma of bukhoor.,مجلس جدتي مليء برائحة البخور.,ديوانية جدتي مليانة بريحة العود.,"This dialogue introduces traditional customs. ""ديوانية"" is used for majlis, and ""عود"" for bukhoor in Eastern dialect.","""مليانة"" is used instead of ""مليء""",Player exploring a traditional Saudi home during a celebration.
"The camel race is about to start, and my camel is taking a nap!",سباق الهجن على وشك البدء، وجملي يأخذ قيلولة!,الهجن بيبدأ، وبعيري قايل!,"This humorous dialogue sets up a racing scenario. ""قايل"" is a Southern term for napping.","""بيبدأ"" is used instead of ""على وشك البدء""",Player preparing for a traditional camel race in the desert.
Help me find my lost ihram in the suitcase maze!,ساعدني في العثور على إحرامي المفقود في متاهة الحقائب!,ساعدني ألقى حرامي الضايع في خربطة الشنط!,"This dialogue creates a search puzzle. ""حرامي"" is used for ihram, and ""خربطة"" for maze in Najdi.","""ألقى"" is used instead of ""أجد""",Player searching for essential pilgrimage items in a luggage puzzle.
The old souq tells stories that the new mall can't.,يحكي السوق القديم قصصًا لا يستطيع المول الجديد روايتها.,السوق القديم فيه حزاوي ما يقدر المول الجديد يحكيها.,"This dialogue contrasts old and new. ""حزاوي"" is a Hijazi word for stories.","""فيه"" is used instead of ""يحتوي على""",Player exploring the contrast between traditional markets and modern malls.
These rock carvings might be an ancient star map.,قد تكون هذه النقوش الصخرية خريطة نجمية قديمة.,يمكن هالحزوز في الصخر خريطة نجوم قديمة.,"This dialogue introduces archaeological discovery. ""حزوز"" is used for carvings in Eastern dialect.","""هال"" is used as a prefix instead of ""هذه""",Player analyzing ancient petroglyphs to uncover celestial knowledge.
Oh no! The wedding henna paste spilled all over the floor!,يا للهول! انسكبت عجينة الحناء على الأرض كلها!,يا سواد الليل! الحنا انكب على الأرض كلها!,"This humorous dialogue creates a cleanup puzzle. ""يا سواد الليل"" is a Southern expression of dismay.","""انكب"" is used instead of ""انسكب""",Player helping to clean up a mess during wedding preparations.
"Quick, use the falcons to catch the escaping prey!",بسرعة، استخدم الصقور لاصطياد الفريسة الهاربة!,بسرعة، طلّق الصقور على الطريدة اللي تفر!,"This dialogue introduces falconry. ""طلّق"" means to release falcons, and ""طريدة"" is prey in Najdi.","""اللي تفر"" is used instead of ""الهاربة""",Player participating in a traditional falconry hunt in the desert.
Each step towards the Kaaba lightens the heart.,كل خطوة نحو الكعبة تنير القلب.,كل خطوة للكعبة تنوّر القلب.,This dialogue reflects on spiritual journey. The phrase is a common saying during pilgrimage.,"""تنوّر"" is used instead of ""تنير""",Player learning about the spiritual aspects of pilgrimage.
The construction crane mixed up all the building floors!,خلط رافعة البناء جميع طوابق المبنى!,الونش خربط كل طوابيق العمارة!,"This dialogue sets up a building puzzle. ""ونش"" is used for crane, and ""خربط"" for mixed up in Eastern dialect.","""طوابيق"" is used instead of ""طوابق""",Player rearranging floors in a mixed-up skyscraper mini-game.
The ancient well whispers secrets of the past.,تهمس البئر القديمة بأسرار الماضي.,الجليب القديم يوشوش بأسرار الأولين.,"This dialogue adds mystery to exploration. ""جليب"" is a Southern word for well, ""يوشوش"" for whisper.","""الأولين"" is used instead of ""الماضي"" for the past",Player listening for clues near an ancient water source.
Catch the rings on the sword during the Ardah dance!,التقط الحلقات على السيف أثناء رقصة العرضة!,اقبض الطارات على السيف وقت العرضة!,"This dialogue introduces a traditional game. ""طارات"" is used for rings, and ""العرضة"" is a traditional Saudi dance.","""وقت"" is used instead of ""أثناء""",Player participating in a game based on traditional Saudi dance.
The desert flowers bloom after the rare rain.,تتفتح أزهار الصحراء بعد المطر النادر.,نوار الصحرا يطلع بعد المطرة الشحيحة.,"This dialogue introduces desert ecology. ""نوار"" is used for flowers, ""شحيحة"" for rare in Hijazi.","""يطلع"" is used instead of ""يتفتح""",Player observing and cataloging rare desert plant life.
I packed my ihram but forgot my toothbrush!,حزمت إحرامي لكنني نسيت فرشاة أسناني!,عبيت الحرام ونسيت السواك!,"This humorous dialogue highlights packing challenges. ""عبيت"" means packed, and ""سواك"" is a traditional toothbrush.","""الحرام"" is used without the definite article",Player double-checking their pilgrimage packing list.
The food delivery drone is stuck on the palm tree!,علقت طائرة توصيل الطعام بدون طيار على النخلة!,الطائرة التوصيل علقت على النخلة!,"This dialogue introduces a humorous scenario. ""الطائرة التوصيل"" is used for delivery drone.","""علقت"" is used instead of ""تعلق""",Player rescuing a stuck drone to retrieve a food order.
The hidden chamber reveals ancient secrets when the sun sets.,تُظهر الغرفة المخفية الأسرار القديمة عند غروب الشمس.,الغرفة السرية تكشف الأسرار القديمة وقت الغروب.,"This dialogue sets a scene of discovery. ""الغرفة السرية"" is used for hidden chamber, and ""تكشف"" for reveals in Najdi.","""وقت الغروب"" is used instead of ""عند غروب الشمس""",Player solving puzzles to unlock secrets in ancient ruins.
Look! I found an ancient inscription on this wall!,انظر! لقد وجدت نقشًا قديمًا على هذا الجدار!,شوف! لقيت كتابة قديمة على الجدار ذا!,"This dialogue introduces players to the excitement of archaeological discovery. The Najdi dialect uses ""شوف"" instead of ""انظر"" and ""لقيت"" instead of ""وجدت"" to sound more colloquial.","Use of ""ذا"" instead of ""هذا"" is typical in Najdi.",Player character discovers an important clue in ancient ruins.
"The traffic is so bad, I could've walked faster!",حركة المرور سيئة للغاية، كان بإمكاني المشي أسرع!,الزحمة مرة شديدة، كان أمشي أحسن!,"This dialogue humorously comments on city traffic. The Hijazi dialect uses ""مرة"" to emphasize, which is characteristic of the region.","""أحسن"" is used instead of ""أفضل"" in this context.",Character stuck in traffic while trying to reach a destination.
The mirage reveals secrets only to those who listen.,يكشف السراب الأسرار فقط لمن يستمع.,الشبح يبين الأسرار بس للي يسمع زين.,"This cryptic dialogue adds mystery to a desert scene. The Eastern dialect uses ""شبح"" for mirage and ""زين"" as an intensifier.","""بس"" is used instead of ""فقط""",Character receives a cryptic clue about navigating the desert.
Every pattern in this traditional dress tells a story.,كل نقش في هذا الثوب التقليدي يحكي قصة.,كل نقشة في الثوب ذا القديم تحكي حكاية.,"This dialogue encourages players to reflect on cultural heritage. The Southern dialect uses ""حكاية"" instead of ""قصة"" for a more traditional feel.","Use of ""ذا"" instead of ""هذا"" is common in Southern dialect.",Player examining traditional clothing to solve a cultural puzzle.
We need to pack extra water for the journey!,علينا تعبئة مياه إضافية للرحلة!,لازم نعبي موية زيادة للسفرة!,"This dialogue teaches about preparation for pilgrimage. Najdi dialect uses ""موية"" for water and ""لازم"" to express necessity.","""نعبي"" is used instead of ""نعبئ""",Characters preparing supplies for a pilgrimage simulation.
The ancient map leads to a hidden oasis.,الخريطة القديمة تقود إلى واحة مخفية.,الخريطة العتيقة تودي لواحة مستخبية.,"This dialogue adds intrigue to an adventure scenario. Hijazi dialect uses ""عتيقة"" for ancient and ""تودي"" for leads.","""مستخبية"" is used instead of ""مخفية""",Player deciphering an old map to find a secret location.
